MutantID,Status,Output
82,FAIL,--- src/triangle/Triangle.java	2016-10-20 16:46:52.000000000 -0400|+++ .mutated/mutants/82/triangle/Triangle.java	2016-10-20 16:21:53.000000000 -0400|@@ -34 +34 @@|-            if (a + b <= c || a + c <= b || b + c <= a) {|+            if (a + b <= c || a + c <= b || b - c <= a) {|
83,FAIL,--- src/triangle/Triangle.java	2016-10-20 16:46:52.000000000 -0400|+++ .mutated/mutants/83/triangle/Triangle.java	2016-10-20 16:21:53.000000000 -0400|@@ -34 +34 @@|-            if (a + b <= c || a + c <= b || b + c <= a) {|+            if (a + b <= c || a + c <= b || b / c <= a) {|
80,FAIL,--- src/triangle/Triangle.java	2016-10-20 16:46:52.000000000 -0400|+++ .mutated/mutants/80/triangle/Triangle.java	2016-10-20 16:21:53.000000000 -0400|@@ -34 +34 @@|-            if (a + b <= c || a + c <= b || b + c <= a) {|+            if (a + b <= c || a + c <= b || b % c <= a) {|
81,FAIL,--- src/triangle/Triangle.java	2016-10-20 16:46:52.000000000 -0400|+++ .mutated/mutants/81/triangle/Triangle.java	2016-10-20 16:21:53.000000000 -0400|@@ -34 +34 @@|-            if (a + b <= c || a + c <= b || b + c <= a) {|+            if (a + b <= c || a + c <= b || b * c <= a) {|
119,FAIL,--- src/triangle/Triangle.java	2016-10-20 16:46:52.000000000 -0400|+++ .mutated/mutants/119/triangle/Triangle.java	2016-10-20 16:21:53.000000000 -0400|@@ -45 +45 @@|-        } else if (trian == 2 && a + c > b) {|+        } else if (trian >= 2 && a + c > b) {|
118,FAIL,--- src/triangle/Triangle.java	2016-10-20 16:46:52.000000000 -0400|+++ .mutated/mutants/118/triangle/Triangle.java	2016-10-20 16:21:53.000000000 -0400|@@ -45 +45 @@|-        } else if (trian == 2 && a + c > b) {|+        } else if (trian <= 2 && a + c > b) {|
84,FAIL,--- src/triangle/Triangle.java	2016-10-20 16:46:52.000000000 -0400|+++ .mutated/mutants/84/triangle/Triangle.java	2016-10-20 16:21:53.000000000 -0400|@@ -34 +34 @@|-            if (a + b <= c || a + c <= b || b + c <= a) {|+            if (a + b <= c || a + c <= b || b + c < a) {|
85,FAIL,--- src/triangle/Triangle.java	2016-10-20 16:46:52.000000000 -0400|+++ .mutated/mutants/85/triangle/Triangle.java	2016-10-20 16:21:53.000000000 -0400|@@ -34 +34 @@|-            if (a + b <= c || a + c <= b || b + c <= a) {|+            if (a + b <= c || a + c <= b || b + c == a) {|
3,FAIL,--- src/triangle/Triangle.java	2016-10-20 16:46:52.000000000 -0400|+++ .mutated/mutants/3/triangle/Triangle.java	2016-10-20 16:21:53.000000000 -0400|@@ -20 +20 @@|-        if (a <= 0 || b <= 0 || c <= 0) {|+        if (a < 0 || b <= 0 || c <= 0) {|
7,FAIL,--- src/triangle/Triangle.java	2016-10-20 16:46:52.000000000 -0400|+++ .mutated/mutants/7/triangle/Triangle.java	2016-10-20 16:21:53.000000000 -0400|@@ -20 +20 @@|-        if (a <= 0 || b <= 0 || c <= 0) {|+        if (a <= 0 || b <= -1 || c <= 0) {|
